age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
34,technician,married,tertiary,no,218,no,no,cellular,5,aug,109,2,-1,0,unknown
45,management,married,tertiary,no,1433,no,no,cellular,14,aug,117,1,-1,0,unknown
42,management,single,tertiary,no,525,no,no,cellular,13,aug,127,2,-1,0,unknown
43,management,married,tertiary,no,1993,no,no,cellular,19,nov,37,1,174,1,failure
35,management,married,tertiary,no,298,yes,no,unknown,3,jun,281,7,-1,0,unknown
46,blue-collar,married,primary,no,2558,yes,no,telephone,20,nov,107,1,167,1,other
32,management,single,tertiary,no,1619,no,no,cellular,17,mar,184,1,321,2,success
46,management,married,primary,no,312,yes,no,cellular,7,jul,113,2,-1,0,unknown
39,self-employed,married,secondary,no,454,yes,no,cellular,25,aug,171,8,-1,0,unknown
40,management,married,tertiary,no,193,no,no,cellular,18,aug,105,6,-1,0,unknown
38,technician,divorced,secondary,no,1803,no,yes,cellular,17,jul,172,1,-1,0,unknown
46,technician,married,tertiary,no,-369,yes,yes,cellular,6,feb,339,4,-1,0,unknown
33,technician,single,secondary,no,541,no,yes,cellular,20,aug,118,2,-1,0,unknown
52,unemployed,married,primary,no,-110,no,yes,cellular,29,jan,141,1,-1,0,unknown
51,self-employed,divorced,secondary,no,154,yes,no,unknown,15,may,285,1,-1,0,unknown
33,technician,single,tertiary,no,176,no,no,cellular,29,aug,112,2,-1,0,unknown
40,admin.,married,tertiary,no,1108,no,no,cellular,26,jan,228,1,92,5,failure
34,technician,single,secondary,no,1386,yes,yes,unknown,28,may,185,6,-1,0,unknown
30,self-employed,single,tertiary,no,432,yes,no,cellular,2,feb,402,1,-1,0,unknown
29,management,married,tertiary,no,205,no,no,cellular,4,jun,787,1,-1,0,unknown
60,self-employed,married,primary,no,46,yes,no,unknown,6,may,202,4,-1,0,unknown
60,admin.,divorced,secondary,no,0,no,yes,telephone,16,jul,357,7,-1,0,unknown
42,admin.,married,secondary,no,4209,yes,no,unknown,5,jun,57,6,-1,0,unknown
32,management,married,tertiary,no,1812,no,no,cellular,4,aug,296,1,182,4,other
60,housemaid,married,unknown,no,15681,no,no,cellular,30,jul,140,3,-1,0,unknown
51,services,married,secondary,no,-238,yes,no,cellular,24,jul,63,1,-1,0,unknown
48,blue-collar,married,primary,no,456,yes,yes,unknown,19,may,289,1,-1,0,unknown
60,retired,divorced,secondary,no,306,yes,no,cellular,18,may,76,3,-1,0,unknown
47,blue-collar,married,secondary,no,473,yes,no,cellular,21,nov,127,2,176,2,other
35,admin.,single,secondary,no,206,yes,no,cellular,30,apr,144,2,-1,0,unknown
74,retired,married,primary,no,1413,no,no,cellular,25,feb,385,2,-1,0,unknown
32,services,single,secondary,no,1659,yes,no,unknown,30,may,120,6,-1,0,unknown
46,blue-collar,single,secondary,no,0,yes,no,cellular,8,may,120,2,-1,0,unknown
31,admin.,single,tertiary,no,701,yes,no,unknown,23,may,301,2,-1,0,unknown
53,self-employed,married,tertiary,no,3711,no,no,cellular,19,nov,64,1,-1,0,unknown
33,technician,single,secondary,no,486,yes,no,unknown,23,may,363,2,-1,0,unknown
54,technician,divorced,secondary,no,255,yes,no,unknown,27,jun,140,2,-1,0,unknown
41,technician,single,tertiary,no,445,yes,no,cellular,17,apr,138,1,267,1,failure
34,management,married,tertiary,no,303,yes,no,cellular,29,jan,50,1,195,2,failure
42,technician,single,secondary,no,275,no,no,cellular,26,aug,31,8,-1,0,unknown
80,retired,divorced,primary,no,5861,no,no,telephone,26,apr,92,8,-1,0,unknown
37,technician,single,secondary,no,133,yes,no,cellular,24,jul,576,2,-1,0,unknown
43,technician,married,secondary,no,0,yes,no,cellular,11,jul,154,2,-1,0,unknown
58,services,divorced,secondary,no,462,no,no,cellular,12,aug,332,1,-1,0,unknown
19,student,single,secondary,no,329,no,no,cellular,22,oct,252,2,-1,0,unknown
57,retired,married,secondary,no,374,yes,yes,cellular,16,jul,236,1,-1,0,unknown
26,blue-collar,single,secondary,no,5005,no,yes,cellular,3,apr,117,1,-1,0,unknown
33,technician,married,secondary,no,133,no,no,cellular,12,nov,627,2,192,1,success
